image_id,image_path,produce_type,grade,expert_score,colour_score,damage_score,shape_score,size_score,surface_defect_score,lighting_condition,background_condition,split
TOM_A_035,images/train/TOM_A_035.jpg,Tomato,A,90.8,91.4,95.5,89.2,82.8,89.8,shade_overcast,neutral_gray_tray,train
TOM_A_036,images/train/TOM_A_036.jpg,Tomato,A,92.0,97.0,90.2,89.5,90.2,91.8,greenhouse_filtered,burlap_fabric,train
TOM_A_037,images/train/TOM_A_037.jpg,Tomato,A,94.8,96.9,94.9,93.3,90.7,97.0,greenhouse_filtered,burlap_fabric,train
TOM_A_038,images/train/TOM_A_038.jpg,Tomato,A,92.5,87.5,98.6,95.7,88.7,89.4,indoor_fluorescent,white_inspection_mat,train
TOM_A_039,images/train/TOM_A_039.jpg,Tomato,A,93.5,92.0,95.7,97.3,86.6,94.5,diffuse_daylight,white_inspection_mat,train
TOM_A_040,images/train/TOM_A_040.jpg,Tomato,A,91.5,90.8,92.9,86.3,88.9,97.5,indoor_fluorescent,burlap_fabric,train
TOM_A_041,images/train/TOM_A_041.jpg,Tomato,A,91.6,88.8,97.6,86.6,89.9,91.3,indoor_fluorescent,wooden_grading_bench,train
TOM_A_042,images/train/TOM_A_042.jpg,Tomato,A,91.1,90.7,94.5,86.6,87.9,92.5,direct_sunlight,white_inspection_mat,train
TOM_A_043,images/train/TOM_A_043.jpg,Tomato,A,91.4,93.8,91.2,86.6,90.7,93.1,shade_overcast,burlap_fabric,train
TOM_A_044,images/train/TOM_A_044.jpg,Tomato,A,88.6,87.7,88.7,86.2,83.2,97.6,greenhouse_filtered,white_inspection_mat,train
TOM_A_045,images/train/TOM_A_045.jpg,Tomato,A,94.5,96.6,94.7,94.9,90.0,94.4,direct_sunlight,burlap_fabric,train
TOM_A_046,images/train/TOM_A_046.jpg,Tomato,A,93.8,95.4,96.5,94.7,85.0,93.7,diffuse_daylight,burlap_fabric,train
TOM_A_047,images/train/TOM_A_047.jpg,Tomato,A,90.9,93.8,88.1,93.8,88.8,91.0,indoor_fluorescent,wooden_grading_bench,train
TOM_A_048,images/train/TOM_A_048.jpg,Tomato,A,91.5,91.4,89.3,97.0,94.1,88.2,diffuse_daylight,white_inspection_mat,train
TOM_A_049,images/train/TOM_A_049.jpg,Tomato,A,93.1,96.6,97.0,86.5,89.1,90.4,direct_sunlight,white_inspection_mat,train
TOM_A_050,images/train/TOM_A_050.jpg,Tomato,A,90.7,86.5,92.1,95.4,90.3,90.9,direct_sunlight,white_inspection_mat,train
TOM_A_051,images/train/TOM_A_051.jpg,Tomato,A,90.7,89.7,92.5,90.7,88.2,91.4,diffuse_daylight,white_inspection_mat,train
TOM_A_052,images/train/TOM_A_052.jpg,Tomato,A,96.3,98.3,99.0,92.3,91.0,97.1,shade_overcast,white_inspection_mat,train
TOM_A_053,images/train/TOM_A_053.jpg,Tomato,A,92.9,96.0,89.4,95.0,93.7,91.8,direct_sunlight,wooden_grading_bench,train
TOM_A_054,images/train/TOM_A_054.jpg,Tomato,A,91.9,92.5,92.6,93.8,90.0,89.6,greenhouse_filtered,wooden_grading_bench,train
TOM_A_055,images/train/TOM_A_055.jpg,Tomato,A,88.6,90.5,88.3,86.9,88.1,88.5,diffuse_daylight,white_inspection_mat,train
TOM_A_056,images/train/TOM_A_056.jpg,Tomato,A,92.5,93.9,92.7,96.8,82.3,95.8,direct_sunlight,burlap_fabric,train
TOM_A_057,images/train/TOM_A_057.jpg,Tomato,A,93.1,93.1,96.7,87.4,91.4,93.1,shade_overcast,white_inspection_mat,train
TOM_A_058,images/train/TOM_A_058.jpg,Tomato,A,94.5,95.0,94.9,92.1,93.4,96.1,indoor_fluorescent,neutral_gray_tray,train
TOM_A_059,images/train/TOM_A_059.jpg,Tomato,A,91.3,91.7,92.4,96.2,82.7,92.4,greenhouse_filtered,burlap_fabric,train
TOM_A_060,images/train/TOM_A_060.jpg,Tomato,A,92.9,91.8,96.0,88.8,88.2,97.1,indoor_fluorescent,wooden_grading_bench,train
TOM_A_061,images/train/TOM_A_061.jpg,Tomato,A,93.7,95.9,94.3,92.4,90.5,93.3,direct_sunlight,neutral_gray_tray,train
TOM_A_062,images/train/TOM_A_062.jpg,Tomato,A,90.1,91.8,89.0,91.4,83.7,94.8,shade_overcast,white_inspection_mat,train
TOM_A_063,images/train/TOM_A_063.jpg,Tomato,A,90.9,86.9,92.4,92.4,88.5,95.2,direct_sunlight,wooden_grading_bench,train
TOM_A_064,images/train/TOM_A_064.jpg,Tomato,A,92.3,90.5,98.3,86.6,84.1,96.9,direct_sunlight,wooden_grading_bench,train
TOM_A_065,images/train/TOM_A_065.jpg,Tomato,A,92.1,86.4,97.8,95.0,85.7,93.5,indoor_fluorescent,white_inspection_mat,train
TOM_A_066,images/train/TOM_A_066.jpg,Tomato,A,89.6,89.2,89.1,89.8,89.9,90.9,greenhouse_filtered,white_inspection_mat,train
TOM_A_067,images/train/TOM_A_067.jpg,Tomato,A,94.2,97.5,95.2,97.6,85.0,92.7,shade_overcast,white_inspection_mat,train
TOM_A_068,images/train/TOM_A_068.jpg,Tomato,A,94.4,90.9,98.9,95.7,90.7,93.6,diffuse_daylight,white_inspection_mat,train
TOM_A_069,images/train/TOM_A_069.jpg,Tomato,A,92.7,95.2,91.3,94.6,86.2,96.2,greenhouse_filtered,wooden_grading_bench,train
TOM_A_070,images/train/TOM_A_070.jpg,Tomato,A,91.3,88.5,92.9,89.9,93.5,92.2,direct_sunlight,burlap_fabric,train
TOM_A_071,images/train/TOM_A_071.jpg,Tomato,A,92.5,96.4,90.9,91.9,89.6,92.8,indoor_fluorescent,burlap_fabric,train
TOM_A_072,images/train/TOM_A_072.jpg,Tomato,A,93.6,89.7,95.9,97.7,93.5,91.5,greenhouse_filtered,white_inspection_mat,train
TOM_A_073,images/train/TOM_A_073.jpg,Tomato,A,93.5,94.5,97.7,93.9,83.9,92.8,diffuse_daylight,wooden_grading_bench,train
TOM_A_074,images/train/TOM_A_074.jpg,Tomato,A,91.1,86.1,94.2,91.4,95.1,89.1,shade_overcast,wooden_grading_bench,train
TOM_A_075,images/train/TOM_A_075.jpg,Tomato,A,91.0,92.7,89.0,94.8,84.5,94.7,diffuse_daylight,wooden_grading_bench,train
TOM_A_076,images/train/TOM_A_076.jpg,Tomato,A,90.5,95.1,91.4,86.5,86.3,89.2,greenhouse_filtered,neutral_gray_tray,train
TOM_A_077,images/train/TOM_A_077.jpg,Tomato,A,94.2,96.8,97.9,91.8,89.4,90.0,direct_sunlight,wooden_grading_bench,train
TOM_A_078,images/train/TOM_A_078.jpg,Tomato,A,89.5,86.9,92.7,89.0,82.3,95.0,shade_overcast,burlap_fabric,train
TOM_A_079,images/train/TOM_A_079.jpg,Tomato,A,91.3,91.1,89.4,96.4,83.9,97.8,shade_overcast,burlap_fabric,train
TOM_A_080,images/train/TOM_A_080.jpg,Tomato,A,93.8,94.7,97.6,96.6,85.4,90.4,diffuse_daylight,neutral_gray_tray,train
TOM_A_081,images/train/TOM_A_081.jpg,Tomato,A,96.1,92.4,98.7,97.3,94.3,97.4,indoor_fluorescent,wooden_grading_bench,train
TOM_A_082,images/train/TOM_A_082.jpg,Tomato,A,91.5,91.8,92.1,91.9,87.4,93.4,shade_overcast,wooden_grading_bench,train
TOM_A_083,images/train/TOM_A_083.jpg,Tomato,A,92.5,93.2,96.5,91.2,85.4,91.8,direct_sunlight,neutral_gray_tray,train
TOM_A_084,images/train/TOM_A_084.jpg,Tomato,A,93.9,90.9,97.2,97.2,90.1,93.0,indoor_fluorescent,neutral_gray_tray,train
TOM_A_085,images/val/TOM_A_085.jpg,Tomato,A,93.2,94.0,95.3,88.0,91.9,94.2,diffuse_daylight,neutral_gray_tray,val
TOM_A_086,images/val/TOM_A_086.jpg,Tomato,A,93.6,91.3,94.2,91.8,93.4,97.9,diffuse_daylight,wooden_grading_bench,val
TOM_A_087,images/val/TOM_A_087.jpg,Tomato,A,94.5,97.3,97.8,96.2,83.3,92.8,shade_overcast,neutral_gray_tray,val
TOM_A_088,images/val/TOM_A_088.jpg,Tomato,A,92.3,95.0,88.9,93.8,89.6,95.5,direct_sunlight,white_inspection_mat,val
TOM_A_089,images/val/TOM_A_089.jpg,Tomato,A,89.2,89.2,88.8,87.4,90.2,90.7,shade_overcast,burlap_fabric,val
TOM_A_090,images/val/TOM_A_090.jpg,Tomato,A,90.0,97.2,88.1,86.3,83.3,92.1,direct_sunlight,neutral_gray_tray,val
TOM_A_091,images/val/TOM_A_091.jpg,Tomato,A,90.0,87.4,91.4,88.3,85.5,97.5,greenhouse_filtered,burlap_fabric,val
TOM_A_092,images/val/TOM_A_092.jpg,Tomato,A,94.2,90.7,98.3,97.6,92.9,90.0,shade_overcast,wooden_grading_bench,val
TOM_A_093,images/val/TOM_A_093.jpg,Tomato,A,92.4,93.6,93.9,87.0,87.9,97.2,shade_overcast,burlap_fabric,val
TOM_A_094,images/val/TOM_A_094.jpg,Tomato,A,91.9,90.9,93.1,87.9,92.5,94.8,greenhouse_filtered,burlap_fabric,val
TOM_A_095,images/val/TOM_A_095.jpg,Tomato,A,94.1,97.0,95.1,94.1,86.5,94.8,indoor_fluorescent,wooden_grading_bench,val
TOM_A_096,images/val/TOM_A_096.jpg,Tomato,A,91.1,96.5,88.7,92.7,87.4,89.0,shade_overcast,burlap_fabric,val
TOM_A_097,images/val/TOM_A_097.jpg,Tomato,A,91.4,89.1,89.3,95.4,94.9,91.7,greenhouse_filtered,white_inspection_mat,val
TOM_A_098,images/val/TOM_A_098.jpg,Tomato,A,90.9,92.4,95.5,85.1,83.9,92.2,greenhouse_filtered,wooden_grading_bench,val
TOM_A_099,images/val/TOM_A_099.jpg,Tomato,A,92.1,91.7,90.4,92.1,95.9,92.3,indoor_fluorescent,burlap_fabric,val
TOM_A_100,images/val/TOM_A_100.jpg,Tomato,A,90.9,93.0,91.6,87.7,84.9,95.0,indoor_fluorescent,white_inspection_mat,val
TOM_A_101,images/val/TOM_A_101.jpg,Tomato,A,91.3,90.9,88.8,96.0,87.5,95.9,direct_sunlight,wooden_grading_bench,val
TOM_A_102,images/val/TOM_A_102.jpg,Tomato,A,91.9,93.5,94.2,90.6,85.0,92.9,greenhouse_filtered,burlap_fabric,val
TOM_A_103,images/test/TOM_A_103.jpg,Tomato,A,93.2,95.4,96.3,86.1,91.3,92.3,greenhouse_filtered,wooden_grading_bench,test
TOM_A_104,images/test/TOM_A_104.jpg,Tomato,A,94.4,96.6,97.6,95.5,83.4,94.4,direct_sunlight,burlap_fabric,test
TOM_A_105,images/test/TOM_A_105.jpg,Tomato,A,91.6,89.2,94.6,89.6,88.0,95.2,diffuse_daylight,neutral_gray_tray,test
TOM_A_106,images/test/TOM_A_106.jpg,Tomato,A,92.8,91.0,97.2,85.9,94.4,92.2,shade_overcast,wooden_grading_bench,test
TOM_A_107,images/test/TOM_A_107.jpg,Tomato,A,92.9,96.5,93.9,93.0,85.9,91.9,shade_overcast,burlap_fabric,test
TOM_A_108,images/test/TOM_A_108.jpg,Tomato,A,92.8,90.8,96.2,91.5,86.9,96.7,diffuse_daylight,wooden_grading_bench,test
TOM_A_109,images/test/TOM_A_109.jpg,Tomato,A,92.2,97.2,88.1,96.6,91.4,88.5,indoor_fluorescent,burlap_fabric,test
TOM_A_110,images/test/TOM_A_110.jpg,Tomato,A,91.9,92.0,91.1,87.3,93.3,96.4,indoor_fluorescent,neutral_gray_tray,test
TOM_A_111,images/test/TOM_A_111.jpg,Tomato,A,91.5,98.4,88.0,90.3,85.3,94.6,indoor_fluorescent,wooden_grading_bench,test
TOM_A_112,images/test/TOM_A_112.jpg,Tomato,A,91.9,93.7,88.7,94.7,90.1,94.6,indoor_fluorescent,wooden_grading_bench,test
TOM_A_113,images/test/TOM_A_113.jpg,Tomato,A,91.4,97.1,89.0,86.6,87.0,96.1,direct_sunlight,neutral_gray_tray,test
TOM_A_114,images/test/TOM_A_114.jpg,Tomato,A,90.1,96.2,90.4,86.2,83.4,90.0,diffuse_daylight,wooden_grading_bench,test
TOM_A_115,images/test/TOM_A_115.jpg,Tomato,A,92.8,91.5,91.9,97.0,88.1,97.1,greenhouse_filtered,neutral_gray_tray,test
TOM_A_116,images/test/TOM_A_116.jpg,Tomato,A,91.8,96.2,91.8,92.1,82.3,93.7,direct_sunlight,burlap_fabric,test
TOM_A_117,images/test/TOM_A_117.jpg,Tomato,A,93.1,96.4,91.9,96.9,82.8,96.4,direct_sunlight,neutral_gray_tray,test
TOM_A_118,images/test/TOM_A_118.jpg,Tomato,A,92.7,94.0,96.9,85.7,90.4,91.4,shade_overcast,wooden_grading_bench,test
TOM_A_119,images/test/TOM_A_119.jpg,Tomato,A,93.3,88.3,98.7,87.0,95.3,94.9,indoor_fluorescent,burlap_fabric,test
TOM_A_120,images/test/TOM_A_120.jpg,Tomato,A,92.2,97.5,89.0,86.8,92.4,95.1,indoor_fluorescent,white_inspection_mat,test
TOM_B_001,images/train/TOM_B_001.jpg,Tomato,B,67.5,78.2,63.3,66.4,63.7,63.1,shade_overcast,burlap_fabric,train
TOM_B_002,images/train/TOM_B_002.jpg,Tomato,B,65.7,65.4,62.4,69.4,71.8,63.1,direct_sunlight,white_inspection_mat,train
TOM_B_003,images/train/TOM_B_003.jpg,Tomato,B,73.1,69.1,71.1,78.6,75.6,75.6,direct_sunlight,neutral_gray_tray,train
TOM_B_004,images/train/TOM_B_004.jpg,Tomato,B,73.4,71.4,76.6,68.8,78.7,69.4,diffuse_daylight,burlap_fabric,train
TOM_B_005,images/train/TOM_B_005.jpg,Tomato,B,73.7,77.7,77.2,64.6,82.5,60.4,indoor_fluorescent,burlap_fabric,train
TOM_B_006,images/train/TOM_B_006.jpg,Tomato,B,66.8,65.4,63.0,75.7,74.1,60.6,diffuse_daylight,white_inspection_mat,train
TOM_B_007,images/train/TOM_B_007.jpg,Tomato,B,68.8,65.8,65.5,64.7,81.6,71.7,greenhouse_filtered,white_inspection_mat,train
TOM_B_008,images/train/TOM_B_008.jpg,Tomato,B,69.0,67.7,66.7,72.4,75.7,65.9,indoor_fluorescent,burlap_fabric,train
TOM_B_009,images/train/TOM_B_009.jpg,Tomato,B,71.3,76.9,65.1,77.6,77.5,61.8,indoor_fluorescent,neutral_gray_tray,train
TOM_B_010,images/train/TOM_B_010.jpg,Tomato,B,71.0,76.5,64.3,71.5,82.0,63.6,shade_overcast,neutral_gray_tray,train
TOM_B_011,images/train/TOM_B_011.jpg,Tomato,B,69.8,74.9,71.0,64.1,74.3,60.3,direct_sunlight,neutral_gray_tray,train
TOM_B_012,images/train/TOM_B_012.jpg,Tomato,B,70.8,78.7,65.6,66.5,82.9,60.4,shade_overcast,white_inspection_mat,train
TOM_B_013,images/train/TOM_B_013.jpg,Tomato,B,73.6,75.3,70.5,70.3,82.7,71.0,greenhouse_filtered,neutral_gray_tray,train
TOM_B_014,images/train/TOM_B_014.jpg,Tomato,B,70.3,73.5,69.2,64.8,80.7,62.1,diffuse_daylight,neutral_gray_tray,train
TOM_B_015,images/train/TOM_B_015.jpg,Tomato,B,71.6,69.1,72.0,65.7,78.0,74.4,greenhouse_filtered,burlap_fabric,train
TOM_B_016,images/train/TOM_B_016.jpg,Tomato,B,73.0,77.9,70.6,66.2,81.0,68.4,shade_overcast,neutral_gray_tray,train
TOM_B_017,images/train/TOM_B_017.jpg,Tomato,B,73.5,71.6,73.1,76.4,80.2,68.2,shade_overcast,neutral_gray_tray,train
TOM_B_018,images/train/TOM_B_018.jpg,Tomato,B,72.2,69.8,75.3,65.6,76.0,72.9,diffuse_daylight,white_inspection_mat,train
TOM_B_019,images/train/TOM_B_019.jpg,Tomato,B,75.8,78.7,77.6,69.8,75.8,73.7,indoor_fluorescent,burlap_fabric,train
TOM_B_020,images/train/TOM_B_020.jpg,Tomato,B,68.2,62.2,63.8,74.1,82.6,66.9,diffuse_daylight,white_inspection_mat,train
TOM_B_021,images/train/TOM_B_021.jpg,Tomato,B,68.5,71.4,62.2,77.9,70.9,64.5,direct_sunlight,burlap_fabric,train
TOM_B_022,images/train/TOM_B_022.jpg,Tomato,B,75.0,75.2,72.6,71.0,83.6,75.2,greenhouse_filtered,burlap_fabric,train
TOM_B_023,images/train/TOM_B_023.jpg,Tomato,B,67.1,66.1,62.7,65.7,70.0,75.9,direct_sunlight,white_inspection_mat,train
TOM_B_024,images/train/TOM_B_024.jpg,Tomato,B,75.3,78.6,75.2,77.0,71.8,71.6,indoor_fluorescent,wooden_grading_bench,train
TOM_B_025,images/train/TOM_B_025.jpg,Tomato,B,67.6,67.1,63.5,74.5,63.7,73.8,shade_overcast,neutral_gray_tray,train
TOM_B_026,images/train/TOM_B_026.jpg,Tomato,B,69.8,72.5,66.3,67.2,82.8,62.1,indoor_fluorescent,neutral_gray_tray,train
TOM_B_027,images/train/TOM_B_027.jpg,Tomato,B,69.1,76.3,64.3,64.1,67.7,73.2,indoor_fluorescent,white_inspection_mat,train
TOM_B_028,images/train/TOM_B_028.jpg,Tomato,B,69.7,76.6,64.3,73.8,65.4,69.0,indoor_fluorescent,burlap_fabric,train
TOM_B_029,images/train/TOM_B_029.jpg,Tomato,B,73.1,63.8,78.5,69.8,83.1,71.4,direct_sunlight,burlap_fabric,train
TOM_B_030,images/train/TOM_B_030.jpg,Tomato,B,70.2,65.9,75.8,67.2,66.3,73.0,indoor_fluorescent,burlap_fabric,train
TOM_B_031,images/train/TOM_B_031.jpg,Tomato,B,69.6,72.6,70.7,67.3,71.4,63.0,greenhouse_filtered,neutral_gray_tray,train
TOM_B_032,images/train/TOM_B_032.jpg,Tomato,B,75.5,77.4,76.2,78.1,73.1,70.4,shade_overcast,neutral_gray_tray,train
TOM_B_033,images/train/TOM_B_033.jpg,Tomato,B,71.6,71.5,65.0,73.2,84.8,70.1,direct_sunlight,neutral_gray_tray,train
TOM_B_034,images/train/TOM_B_034.jpg,Tomato,B,71.8,73.2,66.9,69.6,76.0,77.3,diffuse_daylight,neutral_gray_tray,train
TOM_B_035,images/train/TOM_B_035.jpg,Tomato,B,74.9,76.1,77.6,71.8,78.9,66.3,direct_sunlight,neutral_gray_tray,train
TOM_B_036,images/train/TOM_B_036.jpg,Tomato,B,73.3,75.4,65.7,77.4,81.8,72.6,indoor_fluorescent,burlap_fabric,train
TOM_B_037,images/train/TOM_B_037.jpg,Tomato,B,71.7,78.2,70.4,76.5,70.2,60.1,direct_sunlight,wooden_grading_bench,train
TOM_B_038,images/train/TOM_B_038.jpg,Tomato,B,71.0,70.0,72.4,68.9,76.1,66.6,indoor_fluorescent,neutral_gray_tray,train
TOM_B_039,images/train/TOM_B_039.jpg,Tomato,B,70.2,73.7,63.0,75.8,68.9,74.6,direct_sunlight,neutral_gray_tray,train
TOM_B_040,images/train/TOM_B_040.jpg,Tomato,B,71.8,77.4,63.3,73.6,83.4,66.2,diffuse_daylight,burlap_fabric,train
TOM_B_041,images/train/TOM_B_041.jpg,Tomato,B,73.2,77.8,68.6,71.9,84.9,64.1,diffuse_daylight,burlap_fabric,train
TOM_B_042,images/train/TOM_B_042.jpg,Tomato,B,67.5,67.8,70.0,67.9,69.0,60.1,greenhouse_filtered,white_inspection_mat,train
TOM_B_043,images/train/TOM_B_043.jpg,Tomato,B,69.2,65.1,66.9,68.3,79.1,71.5,direct_sunlight,burlap_fabric,train
TOM_B_044,images/train/TOM_B_044.jpg,Tomato,B,70.0,76.1,64.1,65.1,72.8,73.8,diffuse_daylight,burlap_fabric,train
TOM_B_045,images/train/TOM_B_045.jpg,Tomato,B,70.1,71.9,68.7,78.6,67.4,64.4,greenhouse_filtered,neutral_gray_tray,train
TOM_B_046,images/train/TOM_B_046.jpg,Tomato,B,71.8,64.3,77.3,76.1,72.1,68.7,direct_sunlight,neutral_gray_tray,train
TOM_B_047,images/train/TOM_B_047.jpg,Tomato,B,71.7,71.4,72.4,73.9,74.4,65.8,direct_sunlight,burlap_fabric,train
TOM_B_048,images/train/TOM_B_048.jpg,Tomato,B,74.2,74.5,76.2,76.3,80.3,61.4,shade_overcast,wooden_grading_bench,train
TOM_B_049,images/train/TOM_B_049.jpg,Tomato,B,74.4,69.0,72.8,78.0,82.8,74.9,direct_sunlight,wooden_grading_bench,train
TOM_B_050,images/train/TOM_B_050.jpg,Tomato,B,67.0,66.2,66.4,65.4,72.6,65.4,direct_sunlight,wooden_grading_bench,train
TOM_B_051,images/train/TOM_B_051.jpg,Tomato,B,69.5,73.9,64.6,64.8,74.1,72.1,direct_sunlight,neutral_gray_tray,train
TOM_B_052,images/train/TOM_B_052.jpg,Tomato,B,67.0,63.9,69.0,67.6,68.1,66.6,indoor_fluorescent,burlap_fabric,train
TOM_B_053,images/train/TOM_B_053.jpg,Tomato,B,68.6,65.6,71.1,64.2,78.0,63.7,diffuse_daylight,neutral_gray_tray,train
TOM_B_054,images/train/TOM_B_054.jpg,Tomato,B,74.6,78.4,71.5,77.6,73.1,72.8,greenhouse_filtered,neutral_gray_tray,train
TOM_B_055,images/train/TOM_B_055.jpg,Tomato,B,66.1,65.9,66.1,65.3,70.8,62.7,diffuse_daylight,burlap_fabric,train
TOM_B_056,images/train/TOM_B_056.jpg,Tomato,B,69.7,74.6,64.6,78.4,69.0,63.4,direct_sunlight,neutral_gray_tray,train
TOM_B_057,images/train/TOM_B_057.jpg,Tomato,B,72.0,78.8,74.9,75.5,62.3,61.2,direct_sunlight,white_inspection_mat,train
TOM_B_058,images/train/TOM_B_058.jpg,Tomato,B,68.6,64.8,67.0,66.8,72.1,76.5,direct_sunlight,neutral_gray_tray,train
TOM_B_059,images/train/TOM_B_059.jpg,Tomato,B,68.9,62.7,64.9,74.9,84.4,66.0,diffuse_daylight,neutral_gray_tray,train
TOM_B_060,images/train/TOM_B_060.jpg,Tomato,B,67.2,62.8,64.5,67.7,74.6,71.8,direct_sunlight,burlap_fabric,train
TOM_B_061,images/train/TOM_B_061.jpg,Tomato,B,70.5,70.9,73.8,68.4,65.1,71.0,greenhouse_filtered,neutral_gray_tray,train
TOM_B_062,images/train/TOM_B_062.jpg,Tomato,B,68.8,69.0,67.7,73.4,64.7,70.1,indoor_fluorescent,wooden_grading_bench,train
TOM_B_063,images/train/TOM_B_063.jpg,Tomato,B,73.2,71.6,73.5,70.9,80.7,70.0,direct_sunlight,neutral_gray_tray,train
TOM_B_064,images/train/TOM_B_064.jpg,Tomato,B,76.1,75.3,75.2,70.8,83.9,76.4,greenhouse_filtered,white_inspection_mat,train
TOM_B_065,images/train/TOM_B_065.jpg,Tomato,B,71.4,74.9,72.9,77.3,64.4,63.8,diffuse_daylight,neutral_gray_tray,train
